question_id,scenario_id,setting,difficulty,variant,tier,tier_name,narrative,characters,question_text,choice_A,choice_B,choice_C,choice_D,correct_answer,explanation,tags
Q_SCN014_T3,SCN_014,domestic,medium,original,3,counterfactual_tom,Theo pours orange juice into a green pitcher and puts it in the fridge. Luna drinks the last of the juice and refills the pitcher with lemonade. Max sees the green pitcher in the fridge but wasn't present for any pouring.,"{""A"": ""Theo"", ""B"": ""Luna"", ""C"": ""Max""}","If Theo had witnessed event_2, what would Theo most likely think about Luna's intention?",Luna was confused or mistaken,Luna was trying to help or organize,Luna was acting with hidden intent,Luna was unaware of the consequences,C,"Counterfactually, if Theo had witnessed event_2 (Luna drinks the last of the juice and refills the pitcher with lemonade.), Theo would likely interpret Luna's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""content_change"", ""false_belief"", ""appearance_vs_reality""]"
Q_SCN015_T1,SCN_015,domestic,easy,original,1,first_order_tom,"Aria tells Sam she booked a table at the Italian restaurant for Saturday. Aria calls the restaurant and changes the reservation to the French bistro, telling only Nina. Sam buys a bottle of Italian wine as a gift for the dinner.","{""A"": ""Aria"", ""B"": ""Sam"", ""C"": ""Nina""}","Based on what Aria has witnessed, what does Aria believe about the restaurant?",Aria has no opinion about it,Italian restaurant,Aria does not know,French bistro,D,"Aria only witnessed event_1, event_2. They did not witness event_3. Therefore, Aria believes the restaurant is: French bistro.","[""plan_change"", ""selective_update"", ""false_belief""]"
Q_SCN015_T2,SCN_015,domestic,easy,original,2,second_order_tom,"Aria tells Sam she booked a table at the Italian restaurant for Saturday. Aria calls the restaurant and changes the reservation to the French bistro, telling only Nina. Sam buys a bottle of Italian wine as a gift for the dinner.","{""A"": ""Aria"", ""B"": ""Sam"", ""C"": ""Nina""}",What does Aria think Sam believes about the restaurant?,Sam has never encountered the restaurant,French bistro,Aria thinks Sam doesn't know about the restaurant,Italian restaurant,B,"Aria knows that Sam was present for event_1. From Aria's perspective, Sam's belief would be: French bistro. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""plan_change"", ""selective_update"", ""false_belief""]"
Q_SCN015_T3,SCN_015,domestic,easy,original,3,counterfactual_tom,"Aria tells Sam she booked a table at the Italian restaurant for Saturday. Aria calls the restaurant and changes the reservation to the French bistro, telling only Nina. Sam buys a bottle of Italian wine as a gift for the dinner.","{""A"": ""Aria"", ""B"": ""Sam"", ""C"": ""Nina""}","If Aria had witnessed event_3, what would Aria most likely think about Sam's intention?",Sam was trying to help or organize,Sam was acting with hidden intent,Sam was unaware of the consequences,Sam was confused or mistaken,B,"Counterfactually, if Aria had witnessed event_3 (Sam buys a bottle of Italian wine as a gift for the dinner.), Aria would likely interpret Sam's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""plan_change"", ""selective_update"", ""false_belief""]"
Q_SCN016_T1,SCN_016,domestic,easy,original,1,first_order_tom,"Owen leaves cash inside an envelope on the kitchen counter for the plumber. Stella puts the envelope in her purse for safekeeping, intending to give it to the plumber herself. Hugo, the plumber, arrives and looks at the kitchen counter.","{""A"": ""Owen"", ""B"": ""Stella"", ""C"": ""Hugo""}","Based on what Owen has witnessed, what does Owen believe about the envelope location?","not on counter, no knowledge of envelope",kitchen counter,Owen does not know,her purse,B,"Owen only witnessed event_1. They did not witness event_2, event_3. Therefore, Owen believes the envelope location is: kitchen counter.","[""object_location"", ""false_belief"", ""third_party_perspective""]"
Q_SCN016_T2,SCN_016,domestic,easy,original,2,second_order_tom,"Owen leaves cash inside an envelope on the kitchen counter for the plumber. Stella puts the envelope in her purse for safekeeping, intending to give it to the plumber herself. Hugo, the plumber, arrives and looks at the kitchen counter.","{""A"": ""Owen"", ""B"": ""Stella"", ""C"": ""Hugo""}",What does Owen think Stella believes about the envelope location?,Owen thinks Stella doesn't know about the envelope location,her purse,"not on counter, no knowledge of envelope",kitchen counter,D,"Owen knows that Stella was present for event_1. From Owen's perspective, Stella's belief would be: kitchen counter. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_location"", ""false_belief"", ""third_party_perspective""]"
Q_SCN016_T3,SCN_016,domestic,easy,original,3,counterfactual_tom,"Owen leaves cash inside an envelope on the kitchen counter for the plumber. Stella puts the envelope in her purse for safekeeping, intending to give it to the plumber herself. Hugo, the plumber, arrives and looks at the kitchen counter.","{""A"": ""Owen"", ""B"": ""Stella"", ""C"": ""Hugo""}","If Owen had witnessed event_2, what would Owen most likely think about Stella's intention?",Stella was trying to help or organize,Stella was confused or mistaken,Stella was acting with hidden intent,Stella was unaware of the consequences,C,"Counterfactually, if Owen had witnessed event_2 (Stella puts the envelope in her purse for safekeeping, intending to give it to the plumber herself.), Owen would likely interpret Stella's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_location"", ""false_belief"", ""third_party_perspective""]"
Q_SCN017_T1,SCN_017,domestic,medium,original,1,first_order_tom,"Caleb plants sunflower seeds in the front garden bed and marks the spot with a small flag. Daisy removes the flag thinking it's litter, while Caleb is at work. Jasper waters the marked spot in the garden, unaware the flag has been removed.","{""A"": ""Caleb"", ""B"": ""Daisy"", ""C"": ""Jasper""}","Based on what Caleb has witnessed, what does Caleb believe about the flag status?",Caleb does not know,still marking the garden spot,thrown away as litter,still marking the spot (doesn't know it was removed),B,"Caleb only witnessed event_1. They did not witness event_2, event_3. Therefore, Caleb believes the flag status is: still marking the garden spot.","[""object_state"", ""misunderstanding"", ""false_belief""]"
Q_SCN017_T2,SCN_017,domestic,medium,original,2,second_order_tom,"Caleb plants sunflower seeds in the front garden bed and marks the spot with a small flag. Daisy removes the flag thinking it's litter, while Caleb is at work. Jasper waters the marked spot in the garden, unaware the flag has been removed.","{""A"": ""Caleb"", ""B"": ""Daisy"", ""C"": ""Jasper""}",What does Caleb think Daisy believes about the flag status?,thrown away as litter,still marking the spot (doesn't know it was removed),Caleb thinks Daisy doesn't know about the flag status,still marking the garden spot,D,"Caleb knows that Daisy was present for some events. From Caleb's perspective, Daisy's belief would be: still marking the garden spot. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_state"", ""misunderstanding"", ""false_belief""]"
Q_SCN017_T3,SCN_017,domestic,medium,original,3,counterfactual_tom,"Caleb plants sunflower seeds in the front garden bed and marks the spot with a small flag. Daisy removes the flag thinking it's litter, while Caleb is at work. Jasper waters the marked spot in the garden, unaware the flag has been removed.","{""A"": ""Caleb"", ""B"": ""Daisy"", ""C"": ""Jasper""}","If Caleb had witnessed event_2, what would Caleb most likely think about Daisy's intention?",Daisy was unaware of the consequences,Daisy was trying to help or organize,Daisy was confused or mistaken,Daisy was acting with hidden intent,D,"Counterfactually, if Caleb had witnessed event_2 (Daisy removes the flag thinking it's litter, while Caleb is at work.), Caleb would likely interpret Daisy's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_state"", ""misunderstanding"", ""false_belief""]"
Q_SCN018_T1,SCN_018,workplace,easy,original,1,first_order_tom,Rachel saves the quarterly report on the shared drive in the 'Q3 Reports' folder. Kevin reorganizes the shared drive and moves all reports to a new 'Archive' folder. Diana asks Rachel where the quarterly report is.,"{""A"": ""Rachel"", ""B"": ""Kevin"", ""C"": ""Diana""}","Based on what Rachel has witnessed, what does Rachel believe about the report location?",Archive folder,Rachel does not know,"unknown, is asking",Q3 Reports folder,D,"Rachel only witnessed event_1, event_3. They did not witness event_2. Therefore, Rachel believes the report location is: Q3 Reports folder.","[""file_location"", ""false_belief"", ""workplace_organization""]"
Q_SCN018_T2,SCN_018,workplace,easy,original,2,second_order_tom,Rachel saves the quarterly report on the shared drive in the 'Q3 Reports' folder. Kevin reorganizes the shared drive and moves all reports to a new 'Archive' folder. Diana asks Rachel where the quarterly report is.,"{""A"": ""Rachel"", ""B"": ""Kevin"", ""C"": ""Diana""}",What does Rachel think Kevin believes about the report location?,Q3 Reports folder,Rachel thinks Kevin doesn't know about the report location,"unknown, is asking",Archive folder,A,"Rachel knows that Kevin was present for some events. From Rachel's perspective, Kevin's belief would be: Q3 Reports folder. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""file_location"", ""false_belief"", ""workplace_organization""]"
Q_SCN018_T3,SCN_018,workplace,easy,original,3,counterfactual_tom,Rachel saves the quarterly report on the shared drive in the 'Q3 Reports' folder. Kevin reorganizes the shared drive and moves all reports to a new 'Archive' folder. Diana asks Rachel where the quarterly report is.,"{""A"": ""Rachel"", ""B"": ""Kevin"", ""C"": ""Diana""}","If Rachel had witnessed event_2, what would Rachel most likely think about Kevin's intention?",Kevin was acting with hidden intent,Kevin was confused or mistaken,Kevin was unaware of the consequences,Kevin was trying to help or organize,A,"Counterfactually, if Rachel had witnessed event_2 (Kevin reorganizes the shared drive and moves all reports to a new 'Archive' folder.), Rachel would likely interpret Kevin's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""file_location"", ""false_belief"", ""workplace_organization""]"
Q_SCN019_T1,SCN_019,workplace,medium,original,1,first_order_tom,"Nathan tells Priya he submitted the project proposal to the client. Nathan realizes there was an error and retracts the email, telling only Carlos. Priya emails the client a follow-up referencing the submitted proposal.","{""A"": ""Nathan"", ""B"": ""Priya"", ""C"": ""Carlos""}","Based on what Nathan has witnessed, what does Nathan believe about the proposal status?",Nathan has no opinion about it,retracted,Nathan does not know,submitted to client,B,"Nathan only witnessed event_1, event_2. They did not witness event_3. Therefore, Nathan believes the proposal status is: retracted.","[""status_change"", ""selective_communication"", ""workplace_error""]"
Q_SCN019_T2,SCN_019,workplace,medium,original,2,second_order_tom,"Nathan tells Priya he submitted the project proposal to the client. Nathan realizes there was an error and retracts the email, telling only Carlos. Priya emails the client a follow-up referencing the submitted proposal.","{""A"": ""Nathan"", ""B"": ""Priya"", ""C"": ""Carlos""}",What does Nathan think Priya believes about the proposal status?,retracted,Priya has never encountered the proposal status,submitted to client,Nathan thinks Priya doesn't know about the proposal status,A,"Nathan knows that Priya was present for event_1. From Nathan's perspective, Priya's belief would be: retracted. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""status_change"", ""selective_communication"", ""workplace_error""]"
Q_SCN019_T3,SCN_019,workplace,medium,original,3,counterfactual_tom,"Nathan tells Priya he submitted the project proposal to the client. Nathan realizes there was an error and retracts the email, telling only Carlos. Priya emails the client a follow-up referencing the submitted proposal.","{""A"": ""Nathan"", ""B"": ""Priya"", ""C"": ""Carlos""}","If Nathan had witnessed event_3, what would Nathan most likely think about Priya's intention?",Priya was acting with hidden intent,Priya was trying to help or organize,Priya was confused or mistaken,Priya was unaware of the consequences,A,"Counterfactually, if Nathan had witnessed event_3 (Priya emails the client a follow-up referencing the submitted proposal.), Nathan would likely interpret Priya's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""status_change"", ""selective_communication"", ""workplace_error""]"
Q_SCN020_T1,SCN_020,workplace,easy,original,1,first_order_tom,Samira leaves the prototype in Lab Room 3. Brett moves the prototype to Lab Room 1 for testing. Samira returns to Lab Room 3 to continue working on the prototype.,"{""A"": ""Samira"", ""B"": ""Brett"", ""C"": ""Wendy""}","Based on what Samira has witnessed, what does Samira believe about the prototype location?",Lab Room 1,Samira does not know,Samira has no opinion about it,Lab Room 3,D,"Samira only witnessed event_1, event_3. They did not witness event_2. Therefore, Samira believes the prototype location is: Lab Room 3.","[""object_location"", ""false_belief"", ""workplace_lab""]"
Q_SCN020_T2,SCN_020,workplace,easy,original,2,second_order_tom,Samira leaves the prototype in Lab Room 3. Brett moves the prototype to Lab Room 1 for testing. Samira returns to Lab Room 3 to continue working on the prototype.,"{""A"": ""Samira"", ""B"": ""Brett"", ""C"": ""Wendy""}",What does Samira think Brett believes about the prototype location?,Samira thinks Brett doesn't know about the prototype location,Brett has never encountered the prototype location,Lab Room 1,Lab Room 3,D,"Samira knows that Brett was present for event_1. From Samira's perspective, Brett's belief would be: Lab Room 3. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_location"", ""false_belief"", ""workplace_lab""]"
Q_SCN020_T3,SCN_020,workplace,easy,original,3,counterfactual_tom,Samira leaves the prototype in Lab Room 3. Brett moves the prototype to Lab Room 1 for testing. Samira returns to Lab Room 3 to continue working on the prototype.,"{""A"": ""Samira"", ""B"": ""Brett"", ""C"": ""Wendy""}","If Samira had witnessed event_2, what would Samira most likely think about Brett's intention?",Brett was unaware of the consequences,Brett was acting with hidden intent,Brett was confused or mistaken,Brett was trying to help or organize,B,"Counterfactually, if Samira had witnessed event_2 (Brett moves the prototype to Lab Room 1 for testing.), Samira would likely interpret Brett's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_location"", ""false_belief"", ""workplace_lab""]"
Q_SCN021_T1,SCN_021,workplace,easy,original,1,first_order_tom,"Derek schedules a team meeting for 2 PM in Conference Room A. Derek changes the meeting to 3 PM and updates the calendar, but the notification only reaches Fiona. Raj heads to Conference Room A at 1:55 PM.","{""A"": ""Derek"", ""B"": ""Fiona"", ""C"": ""Raj""}","Based on what Derek has witnessed, what does Derek believe about the meeting time?",2 PM,Derek does not know,Derek has no opinion about it,3 PM,D,"Derek only witnessed event_1, event_2. They did not witness event_3. Therefore, Derek believes the meeting time is: 3 PM.","[""schedule_change"", ""notification_failure"", ""false_belief""]"
Q_SCN021_T2,SCN_021,workplace,easy,original,2,second_order_tom,"Derek schedules a team meeting for 2 PM in Conference Room A. Derek changes the meeting to 3 PM and updates the calendar, but the notification only reaches Fiona. Raj heads to Conference Room A at 1:55 PM.","{""A"": ""Derek"", ""B"": ""Fiona"", ""C"": ""Raj""}",What does Derek think Fiona believes about the meeting time?,Fiona has never encountered the meeting time,Derek thinks Fiona doesn't know about the meeting time,3 PM,2 PM,C,"Derek knows that Fiona was present for event_1, event_2. From Derek's perspective, Fiona's belief would be: 3 PM. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""schedule_change"", ""notification_failure"", ""false_belief""]"
Q_SCN021_T3,SCN_021,workplace,easy,original,3,counterfactual_tom,"Derek schedules a team meeting for 2 PM in Conference Room A. Derek changes the meeting to 3 PM and updates the calendar, but the notification only reaches Fiona. Raj heads to Conference Room A at 1:55 PM.","{""A"": ""Derek"", ""B"": ""Fiona"", ""C"": ""Raj""}","If Derek had witnessed event_3, what would Derek most likely think about Fiona's intention?",Fiona was trying to help or organize,Fiona was unaware of the consequences,Fiona was acting with hidden intent,Fiona was confused or mistaken,C,"Counterfactually, if Derek had witnessed event_3 (Raj heads to Conference Room A at 1:55 PM.), Derek would likely interpret Fiona's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""schedule_change"", ""notification_failure"", ""false_belief""]"
Q_SCN022_T1,SCN_022,workplace,hard,original,1,first_order_tom,"Monica puts the client files in the locked filing cabinet. Steve asks Monica's assistant where the files are; the assistant guesses the filing cabinet. Tara, the office manager, moves all filing cabinet contents to the digital archive room. Monica returns to her office the next morning.","{""A"": ""Monica"", ""B"": ""Steve"", ""C"": ""Tara""}","Based on what Monica has witnessed, what does Monica believe about the files location?",filing cabinet,filing cabinet (from assistant's guess),Monica does not know,digital archive room,A,"Monica only witnessed event_1, event_4. They did not witness event_2, event_3. Therefore, Monica believes the files location is: filing cabinet.","[""object_location"", ""secondhand_information"", ""organizational_change""]"
Q_SCN022_T2,SCN_022,workplace,hard,original,2,second_order_tom,"Monica puts the client files in the locked filing cabinet. Steve asks Monica's assistant where the files are; the assistant guesses the filing cabinet. Tara, the office manager, moves all filing cabinet contents to the digital archive room. Monica returns to her office the next morning.","{""A"": ""Monica"", ""B"": ""Steve"", ""C"": ""Tara""}",What does Monica think Steve believes about the files location?,Monica thinks Steve doesn't know about the files location,filing cabinet,digital archive room,filing cabinet (from assistant's guess),B,"Monica knows that Steve was present for some events. From Monica's perspective, Steve's belief would be: filing cabinet. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_location"", ""secondhand_information"", ""organizational_change""]"
Q_SCN022_T3,SCN_022,workplace,hard,original,3,counterfactual_tom,"Monica puts the client files in the locked filing cabinet. Steve asks Monica's assistant where the files are; the assistant guesses the filing cabinet. Tara, the office manager, moves all filing cabinet contents to the digital archive room. Monica returns to her office the next morning.","{""A"": ""Monica"", ""B"": ""Steve"", ""C"": ""Tara""}","If Monica had witnessed event_2, what would Monica most likely think about Steve's intention?",Steve was confused or mistaken,Steve was trying to help or organize,Steve was acting with hidden intent,Steve was unaware of the consequences,C,"Counterfactually, if Monica had witnessed event_2 (Steve asks Monica's assistant where the files are; the assistant guesses the filing cabinet.), Monica would likely interpret Steve's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_location"", ""secondhand_information"", ""organizational_change""]"
Q_SCN023_T1,SCN_023,workplace,medium,original,1,first_order_tom,Yuki tells Andre that the product launch is confirmed for March. The CEO privately informs Yuki the launch is delayed to April. Petra overhears Andre excitedly telling a colleague about the March launch.,"{""A"": ""Yuki"", ""B"": ""Andre"", ""C"": ""Petra""}","Based on what Yuki has witnessed, what does Yuki believe about the launch date?",March,Yuki does not know,April,Yuki has no opinion about it,C,"Yuki only witnessed event_1, event_2. They did not witness event_3. Therefore, Yuki believes the launch date is: April.","[""schedule_change"", ""information_cascade"", ""false_belief""]"
Q_SCN023_T2,SCN_023,workplace,medium,original,2,second_order_tom,Yuki tells Andre that the product launch is confirmed for March. The CEO privately informs Yuki the launch is delayed to April. Petra overhears Andre excitedly telling a colleague about the March launch.,"{""A"": ""Yuki"", ""B"": ""Andre"", ""C"": ""Petra""}",What does Yuki think Andre believes about the launch date?,Andre has never encountered the launch date,March,Yuki thinks Andre doesn't know about the launch date,April,D,"Yuki knows that Andre was present for event_1. From Yuki's perspective, Andre's belief would be: April. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""schedule_change"", ""information_cascade"", ""false_belief""]"
Q_SCN023_T3,SCN_023,workplace,medium,original,3,counterfactual_tom,Yuki tells Andre that the product launch is confirmed for March. The CEO privately informs Yuki the launch is delayed to April. Petra overhears Andre excitedly telling a colleague about the March launch.,"{""A"": ""Yuki"", ""B"": ""Andre"", ""C"": ""Petra""}","If Yuki had witnessed event_3, what would Yuki most likely think about Andre's intention?",Andre was acting with hidden intent,Andre was unaware of the consequences,Andre was trying to help or organize,Andre was confused or mistaken,A,"Counterfactually, if Yuki had witnessed event_3 (Petra overhears Andre excitedly telling a colleague about the March launch.), Yuki would likely interpret Andre's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""schedule_change"", ""information_cascade"", ""false_belief""]"
Q_SCN024_T1,SCN_024,workplace,medium,original,1,first_order_tom,Glenn writes a critical email about the project manager and saves it as a draft. Rita accidentally sends Glenn's draft email to the entire team. Simon reads the email and assumes Glenn sent it intentionally.,"{""A"": ""Glenn"", ""B"": ""Rita"", ""C"": ""Simon""}","Based on what Glenn has witnessed, what does Glenn believe about the email status?",accidentally sent to team,saved as draft,intentionally sent by Glenn,Glenn does not know,B,"Glenn only witnessed event_1. They did not witness event_2, event_3. Therefore, Glenn believes the email status is: saved as draft.","[""communication_error"", ""false_belief"", ""attribution_error""]"
Q_SCN024_T2,SCN_024,workplace,medium,original,2,second_order_tom,Glenn writes a critical email about the project manager and saves it as a draft. Rita accidentally sends Glenn's draft email to the entire team. Simon reads the email and assumes Glenn sent it intentionally.,"{""A"": ""Glenn"", ""B"": ""Rita"", ""C"": ""Simon""}",What does Glenn think Rita believes about the email status?,intentionally sent by Glenn,accidentally sent to team,Glenn thinks Rita doesn't know about the email status,saved as draft,D,"Glenn knows that Rita was present for some events. From Glenn's perspective, Rita's belief would be: saved as draft. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""communication_error"", ""false_belief"", ""attribution_error""]"
Q_SCN024_T3,SCN_024,workplace,medium,original,3,counterfactual_tom,Glenn writes a critical email about the project manager and saves it as a draft. Rita accidentally sends Glenn's draft email to the entire team. Simon reads the email and assumes Glenn sent it intentionally.,"{""A"": ""Glenn"", ""B"": ""Rita"", ""C"": ""Simon""}","If Glenn had witnessed event_2, what would Glenn most likely think about Rita's intention?",Rita was trying to help or organize,Rita was unaware of the consequences,Rita was acting with hidden intent,Rita was confused or mistaken,C,"Counterfactually, if Glenn had witnessed event_2 (Rita accidentally sends Glenn's draft email to the entire team.), Glenn would likely interpret Rita's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""communication_error"", ""false_belief"", ""attribution_error""]"
Q_SCN025_T1,SCN_025,workplace,medium,original,1,first_order_tom,"Holly leaves her laptop unlocked with confidential data on screen in the meeting room. Ivan walks in, sees the data, and locks the laptop. Nadia later sits at the meeting room table and sees the locked laptop. Holly returns to the meeting room.","{""A"": ""Holly"", ""B"": ""Ivan"", ""C"": ""Nadia""}","Based on what Holly has witnessed, what does Holly believe about the laptop status?",locked (saw it locked),Holly does not know,unlocked with data on screen,locked (he locked it),C,"Holly only witnessed event_1, event_4. They did not witness event_2, event_3. Therefore, Holly believes the laptop status is: unlocked with data on screen.","[""device_state"", ""helpful_intervention"", ""false_belief""]"
Q_SCN025_T2,SCN_025,workplace,medium,original,2,second_order_tom,"Holly leaves her laptop unlocked with confidential data on screen in the meeting room. Ivan walks in, sees the data, and locks the laptop. Nadia later sits at the meeting room table and sees the locked laptop. Holly returns to the meeting room.","{""A"": ""Holly"", ""B"": ""Ivan"", ""C"": ""Nadia""}",What does Holly think Ivan believes about the laptop status?,locked (saw it locked),unlocked with data on screen,Holly thinks Ivan doesn't know about the laptop status,locked (he locked it),B,"Holly knows that Ivan was present for some events. From Holly's perspective, Ivan's belief would be: unlocked with data on screen. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""device_state"", ""helpful_intervention"", ""false_belief""]"
Q_SCN025_T3,SCN_025,workplace,medium,original,3,counterfactual_tom,"Holly leaves her laptop unlocked with confidential data on screen in the meeting room. Ivan walks in, sees the data, and locks the laptop. Nadia later sits at the meeting room table and sees the locked laptop. Holly returns to the meeting room.","{""A"": ""Holly"", ""B"": ""Ivan"", ""C"": ""Nadia""}","If Holly had witnessed event_2, what would Holly most likely think about Ivan's intention?",Ivan was unaware of the consequences,Ivan was acting with hidden intent,Ivan was trying to help or organize,Ivan was confused or mistaken,B,"Counterfactually, if Holly had witnessed event_2 (Ivan walks in, sees the data, and locks the laptop.), Holly would likely interpret Ivan's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""device_state"", ""helpful_intervention"", ""false_belief""]"
Q_SCN026_T1,SCN_026,workplace,hard,original,1,first_order_tom,Vera puts the access badge for the server room in the top drawer of her desk. Marcus borrows the badge and puts it in his own desk drawer after using it. Lena asks Marcus where the server room badge is; Marcus says it's in Vera's top drawer.,"{""A"": ""Vera"", ""B"": ""Marcus"", ""C"": ""Lena""}","Based on what Vera has witnessed, what does Vera believe about the badge location?",Vera's top drawer (was told by Marcus),Vera does not know,his own drawer (lied to Lena),her top drawer,D,"Vera only witnessed event_1. They did not witness event_2, event_3. Therefore, Vera believes the badge location is: her top drawer.","[""deception"", ""object_location"", ""deliberate_misinformation""]"
Q_SCN026_T2,SCN_026,workplace,hard,original,2,second_order_tom,Vera puts the access badge for the server room in the top drawer of her desk. Marcus borrows the badge and puts it in his own desk drawer after using it. Lena asks Marcus where the server room badge is; Marcus says it's in Vera's top drawer.,"{""A"": ""Vera"", ""B"": ""Marcus"", ""C"": ""Lena""}",What does Vera think Marcus believes about the badge location?,his own drawer (lied to Lena),Vera thinks Marcus doesn't know about the badge location,Vera's top drawer (was told by Marcus),her top drawer,D,"Vera knows that Marcus was present for event_1. From Vera's perspective, Marcus's belief would be: her top drawer. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""deception"", ""object_location"", ""deliberate_misinformation""]"
Q_SCN026_T3,SCN_026,workplace,hard,original,3,counterfactual_tom,Vera puts the access badge for the server room in the top drawer of her desk. Marcus borrows the badge and puts it in his own desk drawer after using it. Lena asks Marcus where the server room badge is; Marcus says it's in Vera's top drawer.,"{""A"": ""Vera"", ""B"": ""Marcus"", ""C"": ""Lena""}","If Vera had witnessed event_2, what would Vera most likely think about Marcus's intention?",Marcus was trying to help or organize,Marcus was confused or mistaken,Marcus was unaware of the consequences,Marcus was acting with hidden intent,D,"Counterfactually, if Vera had witnessed event_2 (Marcus borrows the badge and puts it in his own desk drawer after using it.), Vera would likely interpret Marcus's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""deception"", ""object_location"", ""deliberate_misinformation""]"
Q_SCN027_T1,SCN_027,workplace,medium,original,1,first_order_tom,Brandon tells Suki he finished debugging the code. Brandon privately discovers another bug but doesn't tell anyone. Suki tells Earl the code is ready for deployment.,"{""A"": ""Brandon"", ""B"": ""Suki"", ""C"": ""Earl""}","Based on what Brandon has witnessed, what does Brandon believe about the code status?",still has bug,Brandon does not know,ready for deployment,Brandon has no opinion about it,A,"Brandon only witnessed event_1, event_2. They did not witness event_3. Therefore, Brandon believes the code status is: still has bug.","[""status_misrepresentation"", ""information_cascade"", ""false_belief""]"
Q_SCN027_T2,SCN_027,workplace,medium,original,2,second_order_tom,Brandon tells Suki he finished debugging the code. Brandon privately discovers another bug but doesn't tell anyone. Suki tells Earl the code is ready for deployment.,"{""A"": ""Brandon"", ""B"": ""Suki"", ""C"": ""Earl""}",What does Brandon think Suki believes about the code status?,Brandon thinks Suki doesn't know about the code status,still has bug,Suki has never encountered the code status,ready for deployment,B,"Brandon knows that Suki was present for event_1. From Brandon's perspective, Suki's belief would be: still has bug. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""status_misrepresentation"", ""information_cascade"", ""false_belief""]"
Q_SCN027_T3,SCN_027,workplace,medium,original,3,counterfactual_tom,Brandon tells Suki he finished debugging the code. Brandon privately discovers another bug but doesn't tell anyone. Suki tells Earl the code is ready for deployment.,"{""A"": ""Brandon"", ""B"": ""Suki"", ""C"": ""Earl""}","If Brandon had witnessed event_3, what would Brandon most likely think about Suki's intention?",Suki was confused or mistaken,Suki was acting with hidden intent,Suki was unaware of the consequences,Suki was trying to help or organize,B,"Counterfactually, if Brandon had witnessed event_3 (Suki tells Earl the code is ready for deployment.), Brandon would likely interpret Suki's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""status_misrepresentation"", ""information_cascade"", ""false_belief""]"
Q_SCN028_T1,SCN_028,workplace,easy,original,1,first_order_tom,"Dina books the rooftop terrace for a team celebration on Friday. George reserves the same terrace for a client dinner on Friday, unaware of Dina's booking. Pam sees both bookings in the system and knows there's a conflict.","{""A"": ""Dina"", ""B"": ""George"", ""C"": ""Pam""}","Based on what Dina has witnessed, what does Dina believe about the terrace friday?",booked for team celebration,"double-booked, conflict exists",booked for client dinner,Dina does not know,A,"Dina only witnessed event_1. They did not witness event_2, event_3. Therefore, Dina believes the terrace friday is: booked for team celebration.","[""scheduling_conflict"", ""mutual_ignorance"", ""third_party_awareness""]"
